Period,Inventory,Arrived,Available,Needed,Succeeded,Failed,Lost
1,0,0,0,0,0,0,0
2,0,100,100,0,0,0,0
3,100,0,100,5,5,0,0
4,95,0,95,6,6,0,0
5,89,11,100,5,5,0,0
6,95,6,101,9,9,0,0
7,92,5,97,6,6,0,0
8,91,12,103,7,7,0,0
9,96,5,101,25,25,0,0
10,76,7,83,32,32,0,0
11,51,35,86,134,86,48,0
12,0,42,42,377,42,335,0
13,0,141,141,581,141,440,0
14,0,202,202,534,202,332,0
15,0,355,355,465,355,110,0
16,0,281,281,519,281,238,0
17,0,330,330,461,330,131,0
18,0,294,294,332,294,38,0
19,0,308,308,274,274,0,0
20,34,264,298,214,214,0,0
21,84,252,336,230,230,0,0
22,106,181,287,158,158,0,0
23,129,167,296,122,122,0,0
24,174,99,273,70,70,0,0
25,203,76,279,55,55,0,0
26,224,23,247,47,47,0,0
27,200,12,212,46,46,0,0
28,166,13,179,47,47,0,0
29,132,12,144,40,40,0,0
30,104,27,131,49,49,0,0
31,82,27,109,32,32,0,0
32,77,44,121,20,20,0,0
33,101,25,126,39,39,0,0
34,87,14,101,48,48,0,0
35,53,41,94,41,41,0,0
36,53,54,107,47,47,0,0
37,60,37,97,71,71,0,0
38,26,50,76,129,76,53,0
39,0,84,84,156,84,72,0
40,0,114,114,196,114,82,0
41,0,125,125,207,125,82,0
42,0,149,149,218,149,69,0
43,0,151,151,253,151,102,0
44,0,162,162,293,162,131,0
45,0,173,173,405,173,232,0
46,0,198,198,399,198,201,0
47,0,246,246,464,246,218,0
48,0,248,248,514,248,266,0
49,0,285,285,572,285,287,0
50,0,299,299,625,299,326,0
51,0,340,340,733,340,393,0
52,0,354,354,818,354,464,0
53,0,419,419,940,419,521,0
54,0,448,448,806,448,358,0
55,0,523,523,757,523,234,0
56,0,425,425,565,425,140,0
57,0,493,493,518,493,25,0
58,0,386,386,434,386,48,0
59,0,461,461,383,383,0,0
60,78,345,423,391,391,0,0
61,32,289,321,386,321,65,0
62,0,318,318,459,318,141,0
63,0,253,253,553,253,300,0
64,0,305,305,669,305,364,0
65,0,294,294,899,294,605,0
66,0,408,408,1229,408,821,0
67,0,462,462,1511,462,1049,0
68,0,677,677,1380,677,703,0
69,0,763,763,1197,763,434,0
70,0,742,742,998,742,256,0
71,0,690,690,739,690,49,0
72,0,658,658,625,625,0,0
73,33,625,658,408,408,0,0
74,250,548,798,320,320,0,0
75,478,293,771,255,255,0,0
76,516,130,646,190,190,0,0
77,456,100,556,160,160,0,0
78,396,28,424,117,117,0,0
79,307,43,350,103,103,0,0
80,247,32,279,80,80,0,0
81,199,36,235,63,63,0,0
82,172,33,205,55,55,0,0
83,150,25,175,93,93,0,0
84,82,29,111,112,111,1,0
85,0,89,89,179,89,90,0
86,0,117,117,224,117,107,0
87,0,126,126,261,126,135,0
